City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Caibarién,22.5206,-79.4669,84.67,69,92,4.38,CU,1635012157
Draguignan,43.5333,6.4667,62.8,79,1,0,FR,1635012157
Mitchell,43.7094,-98.0298,50.11,60,100,15.99,US,1635012037
Khatanga,71.9667,102.5,10.92,92,100,17.07,RU,1635012158
Laguna,38.421,-121.4238,64.11,77,75,4,US,1635012158
Kapaa,22.0752,-159.319,78.78,90,20,1.01,US,1635012158
Hong Kong,22.2855,114.1577,70.25,79,95,1.99,HK,1635011547
Dikson,73.5069,80.5464,10.04,87,100,11.74,RU,1635012159
Itarema,-2.9248,-39.9167,87.17,57,75,16.28,BR,1635012159
Puerto Ayora,-0.7393,-90.3518,72.21,78,91,10.07,EC,1635012122
Flinders,-34.5833,150.8552,63.21,87,77,4,AU,1635012160
Bluff,-46.6,168.3333,51.98,90,100,3.38,NZ,1635011887
Cherskiy,68.75,161.3,-6.66,100,100,2.3,RU,1635012160
Norman Wells,65.282,-126.8329,33.51,84,65,3.65,CA,1635012160
Busselton,-33.65,115.3333,53.1,80,36,6.22,AU,1635011915
Ushuaia,-54.8,-68.3,39.94,72,56,14.29,AR,1635012155
Zhuanghe,39.7008,122.9911,48.16,64,0,4.59,CN,1635012161
Lavrentiya,65.5833,-171,24.24,85,100,9.71,RU,1635012161
Kaitangata,-46.2817,169.8464,50.4,90,100,3.51,NZ,1635012162
Chokurdakh,70.6333,147.9167,-4.32,94,100,5.79,RU,1635012162
De-Kastri,51.4667,140.7833,32.88,88,5,5.84,RU,1635012162
Sittwe,20.15,92.9,76.89,82,98,5.14,MM,1635012163
Son La,21.3167,103.9,57.4,98,46,1.45,VN,1635012163
Östersund,63.1792,14.6357,36.05,93,90,10.36,SE,1635012163
Zeya,53.75,127.2667,35.38,72,8,2.35,RU,1635012164
Eilat,29.5581,34.9482,76.84,50,0,11.5,IL,1635012164
Chimoré,-16.9833,-65.1333,103.64,26,65,8.79,BO,1635012165
Punta Arenas,-53.15,-70.9167,42.91,81,75,39.12,CL,1635011910
East London,-33.0153,27.9116,63.86,58,40,24.9,ZA,1635012033
Bonavista,48.6499,-53.1147,53.01,99,100,8.63,CA,1635012165
Lubango,-14.9172,13.4925,65.98,26,73,6.33,AO,1635012165
Caravelas,-17.7125,-39.2481,79.41,68,62,8.9,BR,1635012166
Butaritari,3.0707,172.7902,81.32,71,78,8.16,KI,1635011904
Neiafu,-18.65,-173.9833,75.31,63,43,19.22,TO,1635012166
Waingapu,-9.6567,120.2641,78.12,81,93,2.01,ID,1635012166
Makakilo City,21.3469,-158.0858,77.61,73,19,14.61,US,1635012122
Chui,-33.6971,-53.4616,60.42,79,100,3.91,UY,1635012167
Petropavlovsk-Kamchatskiy,53.0452,158.6483,32.9,79,95,2.66,RU,1635012167
Rikitea,-23.1203,-134.9692,74.71,82,72,19.44,PF,1635012168
Saint Paul Harbor,57.79,-152.4072,44.11,76,90,12.66,US,1635012165
Mataura,-46.1927,168.8643,49.35,97,100,0.98,NZ,1635012168
Hobart,-42.8794,147.3294,52.02,93,90,5.99,AU,1635012018
Riyadh,24.6877,46.7219,82.49,22,16,8.5,SA,1635012141
Nikolskoye,59.7035,30.7861,37.29,86,100,9.53,RU,1635012169
Shaoyang,27.2315,111.4525,53.55,80,27,3.02,CN,1635012169
Cape Town,-33.9258,18.4232,62.1,64,55,1.99,ZA,1635012068
Kruisfontein,-34.0033,24.7314,58.89,68,7,18.05,ZA,1635012169
Bredasdorp,-34.5322,20.0403,56.28,69,68,5.3,ZA,1635012170
Thompson,55.7435,-97.8558,36.61,74,100,3.24,CA,1635012170
Qaanaaq,77.484,-69.3632,-1.46,57,0,7.94,GL,1635012171
Margate,51.3813,1.3862,55.11,74,88,1.01,GB,1635012171
Castro,-24.7911,-50.0119,76.95,48,84,10.36,BR,1635012072
Kautokeino,69.0125,23.0412,10.87,87,89,3.94,NO,1635012171
Dawlatabad,36.4141,64.9053,49.96,32,0,5.1,AF,1635012172
Albany,42.6001,-73.9662,55.8,58,68,1.99,US,1635011897
Saint George,37.1041,-113.5841,73.87,24,1,1.01,US,1635012172
Cidreira,-30.1811,-50.2056,69.3,84,92,10.49,BR,1635012173
Kavieng,-2.5744,150.7967,82.09,76,72,14.41,PG,1635012173
Saint-Paul,-21.0096,55.2707,75.31,96,46,4.85,RE,1635012173
